id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
sonic-3,0.592495,1881370056,2.41976,0.617532,0.575094,1.029,0.359647,06-03-2025 17-03-26
arbitrum,0.425597,1880884908,8.49037,0.428427,0.39153,2.39,0.356141,06-03-2025 17-03-26
lombard-staked-btc,91256.0,1868122097,2.28606,92637.0,87534.0,114576.0,52119.0,06-03-2025 17-03-26
celestia,3.36,1805899774,-1.22672,3.48,3.24,20.85,2.08,06-03-2025 17-03-26
jupiter-exchange-solana,0.64142,1729415953,-2.07034,0.656536,0.621121,2.0,0.457464,06-03-2025 17-03-26
fasttoken,4.0,1717565289,0.25132,4.05,3.97,4.07,0.398142,06-03-2025 17-03-26
fetch-ai,0.652291,1701836347,7.49793,0.653235,0.586482,3.45,0.00816959,06-03-2025 17-03-26
optimism,1.011,1640056735,4.41772,1.042,0.950716,4.84,0.402159,06-03-2025 17-03-26
kucoin-shares,11.65,1428835936,1.95416,11.71,11.35,28.83,0.342863,06-03-2025 17-03-26
binance-peg-weth,2294.83,1388435111,3.1509,2317.43,2174.1,4098.26,2028.29,06-03-2025 17-03-26
solv-btc,91100.0,1364746620,1.83227,92306.0,87761.0,108929.0,49058.0,06-03-2025 17-03-26
story-2,5.33,1333408335,-3.30406,5.54,5.12,7.31,1.0,06-03-2025 17-03-26
kelp-dao-restaked-eth,2385.31,1309663549,3.33345,2403.07,2249.71,4216.2,2069.62,06-03-2025 17-03-26
quant-network,85.74,1247504596,-5.75987,91.22,84.62,427.42,0.215773,06-03-2025 17-03-26
xdce-crowd-sale,0.0759,1194292288,-0.67656,0.076896,0.074045,0.192754,0.00039532,06-03-2025 17-03-26
injective-protocol,12.21,1193193850,5.73145,12.72,11.49,52.62,0.657401,06-03-2025 17-03-26
nexo,1.18,1181624112,1.79746,1.18,1.13,4.07,0.04515276,06-03-2025 17-03-26
movement,0.494548,1174686891,20.79485,0.505691,0.39972,1.45,0.378282,06-03-2025 17-03-26
maker,1356.15,1156397356,-3.57442,1419.31,1343.11,6292.31,168.36,06-03-2025 17-03-26
rocket-pool-eth,2585.65,1147076934,2.85571,2606.45,2438.54,4814.31,887.26,06-03-2025 17-03-26
immutable-x,0.645398,1141317182,1.98421,0.662195,0.615551,9.52,0.378055,06-03-2025 17-03-26
blockstack,0.749563,1136150611,4.67649,0.762666,0.704546,3.86,0.04559639,06-03-2025 17-03-26
theta-token,1.11,1107847798,2.88441,1.11,1.049,15.72,0.04039979,06-03-2025 17-03-26
lido-dao,1.21,1091473396,4.99376,1.22,1.12,7.3,0.40615,06-03-2025 17-03-26
worldcoin-wld,1.004,1087411092,1.76087,1.008,0.946519,11.74,0.892662,06-03-2025 17-03-26
sei-network,0.232719,1084281149,1.51111,0.242644,0.22516,1.14,0.095364,06-03-2025 17-03-26
the-graph,0.112313,1075882149,3.84217,0.112984,0.105359,2.84,0.052051,06-03-2025 17-03-26
binance-staked-sol,158.03,1075658166,2.92729,158.05,146.1,297.96,127.32,06-03-2025 17-03-26
dexe,18.44,1052811494,-3.99624,19.73,18.18,32.38,0.671563,06-03-2025 17-03-26
usual-usd,0.997411,1050884590,-0.04336,0.998225,0.997355,1.33,0.976415,06-03-2025 17-03-26
flare-networks,0.01768908,1046073665,3.27493,0.01780143,0.01671267,0.150073,0.00827405,06-03-2025 17-03-26
mantle-staked-ether,2429.79,1035409144,2.94197,2450.14,2300.08,4729.53,2142.02,06-03-2025 17-03-26
bonk,1.28e-05,991295957,1.69121,1.291e-05,1.188e-05,5.825e-05,8.6142e-08,06-03-2025 17-03-26
solv-protocol-solvbtc-bbn,90663.0,926479252,3.02478,94675.0,44342.0,117077.0,11402.13,06-03-2025 17-03-26
jasmycoin,0.01798636,871685821,1.88814,0.01808537,0.01717158,4.79,0.00275026,06-03-2025 17-03-26
eos,0.563738,855359624,3.50901,0.56833,0.53493,22.71,0.402746,06-03-2025 17-03-26
gala,0.01931626,837941934,6.03729,0.0195267,0.01770439,0.824837,0.00013475,06-03-2025 17-03-26
iota,0.223606,821083780,1.19386,0.226249,0.211744,5.25,0.081637,06-03-2025 17-03-26
tezos,0.793779,820349722,3.9683,0.796981,0.747548,9.12,0.350476,06-03-2025 17-03-26
jito-governance-token,2.67,806793222,2.00592,2.72,2.56,6.01,1.45,06-03-2025 17-03-26
the-sandbox,0.323105,790269997,4.20813,0.325392,0.302663,8.4,0.02897764,06-03-2025 17-03-26
telcoin,0.00847517,778272316,0.19749,0.00910607,0.00819409,0.064483,6.474e-05,06-03-2025 17-03-26
